"Maxima XXX",Marijampolė,"V. Kudirkos g. 3"
LIDL,Panevėžys,"Smėlynės g. 112A"
"PC Molas",Panevėžys,"Klaipėdos g. 143A"
"IKI Basanavičiaus",Panevėžys,"Ukmergės g. 18"
"Maxima XX",Panevėžys,"Respublikos g. 71"
"Rimi Panevėžys",Panevėžys,"Klaipėdos g. 82"
Norfa,Šiauliai,"M. Valančiaus g. 18"
"IKI Dainai",Šiauliai,"Gardino g. 2"
"Saulės miestas",Šiauliai,"Tilžės g. 109"
Maxima,Ginkūnai,"Rasos g. 1A"
Akropolis,Šiauliai,"Aido g. 8"
"Čia Market",Klaipėda,"Mogiliovo g. 12"
LIDL,Klaipėda,"Smiltelės g. 19"
Rimi,Klaipėda,"Liepojos g. 27"
"IKI Žardė",Klaipėda,"Taikos pr. 115"
"Maxima X",Klaipėda,"H. Manto g. 11"
BIG2,Klaipėda,"Taikos pr. 141"
Banginis,Klaipėda,"Šilutės pl. 35"
Studlendas,Klaipėda,"H.Manto g.90-1"
Akropolis,Klaipėda,"Taikos pr. 61"
"Express Market",Kaunas,"K. Donelaičio g. 44a"
LIDL,Kaunas,"Savanorių pr. 315"
"Rimi Juozapavičiaus",Kaunas,"A.Juozapavičiaus pr. 11"
Šilas,Kaunas,"Taikos pr. 31A"
Norfa,Kaunas,"Šiaurės pr. 44"
"IKI Girstupis",Kaunas,"Kovo 11-osios g. 22"
Norfa,Kaunas,"Baltų pr. 195"
LIDL,Kaunas,"K. Baršausko g. 66"
"IKI Taubūčiai",Kaunas,"Jotvingių g. 15 "
"Maxima XX",Kaunas,"V. Krėvės pr. 14B"
"IKI Saulėtekis",Kaunas,"V. Krėvės pr. 97"
"Rimi Raudondvaris",Kaunas,"Raudondvario pl. 94B"
"IKI Lituanica",Kaunas,"Jonavos g. 3"
Šilas,Kaunas,"K. Škirpos g. 17"
"Express Market",Kaunas,"K. Petrausko g. 6"
"Lapių pašto skyrius",Lapės,"A. Merkio g. 1"
LIDL,Kaunas,"A. Juozapavičiaus pr. 125"
"Maxima XXX",Kaunas,"Pramonės pr. 29"
MEGA,Kaunas,"Islandijos pl. 32"
LIDL,Kaunas,"Ežero g. 3"
"Maxima XXX",Kaunas,"Savanorių pr. 255"
Akropolis,Kaunas,"Karaliaus Mindaugo pr. 49"
CUP,Vilnius,"Upės g. 9"
" Maxima XX",Vilnius,"Laisvės pr. 26"
"IKI Žalieji Ežerai",Vilnius,"Visalaukio g. 1"
"Rimi Kareivių",Vilnius,"Kareivių g. 11A"
"Rimi Užupis",Vilnius,"Zarasų g. 5A"
LIDL,Vilnius,"Justiniškių g. 126"
"Maxima XX",Vilnius,"Pergalės g. 42"
LIDL,Vilnius,"Ateities g. 4A"
"PC UNA",Vilnius,"Dangeručio g.1"
"IKI Papartis",Vilnius,"Architektų g. 43"
"IKI Antakalnis",Vilnius,"Nemenčinės pl. 2"
"IKI Visoriai",Vilnius,"Bajorų kelias 4"
Technopolis,Vilnius,"V. Gerulaičio g. 10"
"Rimi Erfurtas",Vilnius,"Architektų g. 19"
"Maxima XX",Vilnius,"Žalgirio g. 105"
"IKI Fabijoniškės",Vilnius,"Fabijoniškių g. 2A"
Lidl,Vilnius,"Juodasis kelias 34"
"Maxima XX",Vilnius,"Naugarduko g. 84"
Lidl,Vilnius,"Rinktinės g. 60"
"IKI Mindaugo",Vilnius,"Mindaugo g. 25"
BIG,Vilnius,"Ukmergės g. 369"
"Maxima XX",Vilnius,"Pilaitės pr. 31"
"Verslo trikampis",Vilnius,"J. Jasinskio g. 16"
"IKI Vilnius",Vilnius,"Žirmūnų g. 2"
Panorama,Vilnius,"Saltoniškių g. 9"
"Maxima XX",Vilnius,"J. Tiškevičiaus g. 22"
"PC Pašilaičiai",Vilnius,"Pavilnionių g. 55"
Banginis,Vilnius,"P. Lukšio g. 34"
Norfa,Vilnius,"Minsko pl. 3"
"Maxima XXX",Vilnius,"Ukmergės g. 282"
Akropolis,Vilnius,"Ozo g. 25"
